RingNumber OriginalID NewID(RingsMerge)
1 304 1
1 303 2
1 299 3
1 298 4
1 290 5
1 284 6
1 245 7
1 244 8
1 240 9
1 239 10
1 238 11
1 237 12
1 225 13
1 195 14
1 190 15
1 183 16
1 182 17
1 177 18
1 175 19
1 161 20
1 162 21
1 145 22
1 144 23
1 140 24
1 139 25
1 131 26
1 125 27
1 86 28
1 85 29
1 82 30
1 80 31
1 81 32
1 78 33
1 66 34
1 36 35
1 31 36
1 23 37
1 22 38
1 17 39
1 15 40
2 311 41
2 305 42
2 287 43
2 283 44
2 277 45
2 276 46
2 253 47
2 251 48
2 241 49
2 236 50
2 235 51
2 232 52
2 202 53
2 201 54
2 193 55
2 191 56
2 176 57
2 170 58
2 151 59
2 146 60
2 127 61
2 123 62
2 117 63
2 116 64
2 94 65
2 92 66
2 83 67
2 79 68
2 77 69
2 73 70
2 43 71
2 42 72
2 34 73
2 32 74
2 16 75
2 10 76
3 316 77
3 315 78
3 314 79
3 313 80
3 308 81
3 306 82
3 278 83
3 272 84
3 273 85
3 271 86
3 269 87
3 263 88
3 262 89
3 260 90
3 243 91
3 242 92
3 229 93
3 224 94
3 218 95
3 219 96
3 217 97
3 210 98
3 208 99
3 209 100
3 207 101
3 200 102
3 173 103
3 171 104
3 166 105
3 165 106
3 164 107
3 163 108
3 158 109
3 157 110
3 155 111
3 156 112
3 154 113
3 149 114
3 147 115
3 118 116
3 112 117
3 113 118
3 111 119
3 109 120
3 103 121
3 102 122
3 101 123
3 84 124
3 72 125
3 70 126
3 65 127
3 59 128
3 60 129
3 58 130
3 51 131
3 49 132
3 50 133
3 48 134
3 41 135
3 13 136
3 11 137
3 6 138
3 4 139
3 5 140
3 3 141
4 312 142
4 310 143
4 302 144
4 301 145
4 300 146
4 297 147
4 294 148
4 295 149
4 291 150
4 289 151
4 288 152
4 286 153
4 285 154
4 281 155
4 282 156
4 279 157
4 275 158
4 274 159
4 270 160
4 268 161
4 267 162
4 266 163
4 265 164
4 264 165
4 261 166
4 258 167
4 259 168
4 257 169
4 252 170
4 250 171
4 249 172
4 248 173
4 234 174
4 231 175
4 227 176
4 226 177
4 221 178
4 220 179
4 216 180
4 215 181
4 214 182
4 213 183
4 212 184
4 211 185
4 206 186
4 205 187
4 204 188
4 203 189
4 198 190
4 199 191
4 197 192
4 194 193
4 192 194
4 189 195
4 185 196
4 184 197
4 180 198
4 181 199
4 179 200
4 178 201
4 168 202
4 169 203
4 167 204
4 160 205
4 159 206
4 153 207
4 152 208
4 143 209
4 142 210
4 141 211
4 138 212
4 135 213
4 136 214
4 132 215
4 130 216
4 129 217
4 128 218
4 126 219
4 124 220
4 121 221
4 122 222
4 119 223
4 115 224
4 114 225
4 110 226
4 108 227
4 107 228
4 106 229
4 105 230
4 104 231
4 99 232
4 100 233
4 98 234
4 93 235
4 91 236
4 90 237
4 88 238
4 75 239
4 74 240
4 69 241
4 67 242
4 62 243
4 61 244
4 57 245
4 56 246
4 55 247
4 54 248
4 53 249
4 52 250
4 47 251
4 46 252
4 45 253
4 44 254
4 39 255
4 40 256
4 38 257
4 35 258
4 33 259
4 30 260
4 26 261
4 25 262
4 24 263
4 20 264
4 21 265
4 19 266
4 18 267
4 8 268
4 9 269
4 7 270
4 2 271
4 1 272
5 309 273
5 307 274
5 296 275
5 293 276
5 292 277
5 280 278
5 256 279
5 255 280
5 254 281
5 247 282
5 246 283
5 233 284
5 230 285
5 228 286
5 223 287
5 222 288
5 196 289
5 188 290
5 187 291
5 186 292
5 174 293
5 172 294
5 150 295
5 148 296
5 137 297
5 134 298
5 133 299
5 120 300
5 97 301
5 96 302
5 95 303
5 89 304
5 87 305
5 76 306
5 71 307
5 68 308
5 64 309
5 63 310
5 37 311
5 29 312
5 28 313
5 27 314
5 14 315
5 12 316
