%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta
-83399.88720 -44999.93600   -165.43514    103.59436      1.00000      1.00000    118.34989      5.41351
-83199.88740 -45599.93500   -164.68538    103.47648      2.00000      1.00000    118.72613      5.41981
 83799.88760  44999.93640   -159.43481    103.62950      3.00000      1.00000    -61.76452      5.43351
 83199.88740  45599.93500   -158.68506    103.47648      4.00000      1.00000    -61.27387      5.41981
-93799.89480  13399.98020   -150.92196    107.40206      5.00000      1.00000     81.86990      5.41274
 93999.86660 -13399.98160   -145.42228    103.80295      6.00000      1.00000    -98.11304      5.42398
-36061.80120  87799.88300    -97.52954    111.65208      7.00000      1.00000     22.32929      5.42211
-70399.91360 -63599.91940    -97.44271     98.04502      8.00000      1.00000    132.09494      5.41966
-94599.88880  -4999.99040    -95.66886    107.71429      9.00000      1.00000     93.02550      5.41159
 70599.91360  63599.91940    -90.19238     98.08656     10.00000      1.00000    -47.98590      5.42810
 94799.88900   4999.99040    -90.16854    107.71434     11.00000      1.00000    -86.98087      5.42293
 94799.88900   4999.99040    -89.41854    107.71434     12.00000      1.00000    -86.98087      5.42293
 36199.95040 -87799.88320    -83.52987    111.65366     13.00000      1.00000   -157.59361      5.42510
-94199.89360  10799.98240    -40.17090    107.52998     14.00000      1.00000     83.45962      5.41642
 94399.89380 -10799.98260    -34.67122    107.53080     15.00000      1.00000    -96.52665      5.42770
-81799.88760 -47799.93100    -26.93628    102.96248     16.00000      1.00000    120.29997      5.41216
-81999.88760 -47399.93180    -26.18612    103.05317     17.00000      1.00000    120.03001      5.41057
 81999.88780  47799.93140    -20.68595    102.98289     18.00000      1.00000    -59.76095      5.42197
 82199.88760  47399.93200    -19.93579    103.07319     19.00000      1.00000    -60.03043      5.42041
-94599.88880   4999.99040     -4.91854    107.71430     20.00000      1.00000     86.97450      5.41159
-94599.88880  -4999.99040     -4.91886    107.71429     21.00000      1.00000     93.02550      5.41159
-83599.88740  44999.93620     14.56519    103.61198     22.00000      1.00000     61.70742      5.42350
-82999.88720  45599.93480     15.31494    103.45824     23.00000      1.00000     61.21571      5.40985
 83599.88740 -44999.93620     20.56486    103.61199     24.00000      1.00000   -118.29258      5.42350
 83399.88760 -45599.93540     21.31462    103.49460     25.00000      1.00000   -118.66819      5.42977
-93799.89480 -13399.98020     29.07772    107.40206     26.00000      1.00000     98.13010      5.41274
 93999.89560  13399.98040     34.57804    107.49356     27.00000      1.00000    -81.88697      5.42398
-35999.95060 -87799.88620     82.46394    112.77980     28.00000      1.00000    157.70526      5.42078
-70399.91320  63599.91900     82.55762     97.93823     29.00000      1.00000     47.90506      5.41966
-94599.88880   4999.99040     84.33146    107.71430     30.00000      1.00000     86.97450      5.41159
 70599.91320 -63599.91920     89.80729     97.97972     31.00000      1.00000   -132.01410      5.42810
