%YLab ZLab Omega GrainRadius SpotID RingNumber Eta Ttheta OmegaIni(NoWedgeCorr) YOrig(NoWedgeCorr) ZOrig(NoWedgeCorr) YOrig(DetCor) ZOrig(DetCor) OmegaOrig(DetCor) IntegratedIntensity(count)
-83399.88720 -44999.93600   -165.43514    103.59436      1.00000      1.00000    118.34989      5.41351   -165.43514 -83399.88720 -44999.93600   1438.99944    797.00032   -165.43514  47520.35931
-83199.88740 -45599.93500   -164.68538    103.47648      2.00000      1.00000    118.72613      5.41981   -164.68538 -83199.88740 -45599.93500   1437.99944    794.00032   -164.68538  47527.90637
 83799.88760  44999.93640   -159.43481    103.62950      3.00000      1.00000    -61.76452      5.43351   -159.43481  83799.88760  44999.93640    603.00056   1246.99968   -159.43481  47518.02367
 83199.88740  45599.93500   -158.68506    103.47648      4.00000      1.00000    -61.27387      5.41981   -158.68506  83199.88740  45599.93500    606.00056   1249.99968   -158.68506  47527.90673
-93799.89480  13399.98020   -150.92196    107.40206      5.00000      1.00000     81.86990      5.41274   -150.92196 -93799.89480  13399.98020   1490.99947   1088.99990   -150.92196  47075.99963
 93999.86660 -13399.98160   -145.42228    103.80295      6.00000      1.00000    -98.11304      5.42398   -145.42228  93999.86660 -13399.98160    552.00067    955.00009   -145.42228  42498.57355
-36061.80120  87799.88300    -97.52954    111.65208      7.00000      1.00000     22.32929      5.42211    -97.52954 -36061.80120  87799.88300   1202.30901   1460.99941    -97.52954 137423.16477
-70399.91360 -63599.91940    -97.44271     98.04502      8.00000      1.00000    132.09494      5.41966    -97.44271 -70399.91360 -63599.91940   1373.99957    704.00040    -97.44271  47780.98230
-94599.88880  -4999.99040    -95.66886    107.71429      9.00000      1.00000     93.02550      5.41159    -95.66886 -94599.88880  -4999.99040   1494.99944    997.00005    -95.66886  47076.00028
 70599.91360  63599.91940    -90.19238     98.08656     10.00000      1.00000    -47.98590      5.42810    -90.19238  70599.91360  63599.91940    669.00043   1339.99960    -90.19238  47781.04653
 94799.88900   4999.99040    -90.16854    107.71434     11.00000      1.00000    -86.98087      5.42293    -90.16854  94799.88900   4999.99040    548.00055   1046.99995    -90.16854  47076.00031
 94799.88900   4999.99040    -89.41854    107.71434     12.00000      1.00000    -86.98087      5.42293    -89.41854  94799.88900   4999.99040    548.00055   1046.99995    -89.41854  47076.00031
 36199.95040 -87799.88320    -83.52987    111.65366     13.00000      1.00000   -157.59361      5.42510    -83.52987  36199.95040 -87799.88320    841.00025    583.00058    -83.52987 137429.02206
-94199.89360  10799.98240    -40.17090    107.52998     14.00000      1.00000     83.45962      5.41642    -40.17090 -94199.89360  10799.98240   1492.99947   1075.99991    -40.17090  47076.00052
 94399.89380 -10799.98260    -34.67122    107.53080     15.00000      1.00000    -96.52665      5.42770    -34.67122  94399.89380 -10799.98260    550.00053    968.00009    -34.67122  47076.00119
-81799.88760 -47799.93100    -26.93628    102.96248     16.00000      1.00000    120.29997      5.41216    -26.93628 -81799.88760 -47799.93100   1430.99944    783.00035    -26.93628  47556.98754
-81999.88760 -47399.93180    -26.18612    103.05317     17.00000      1.00000    120.03001      5.41057    -26.18612 -81999.88760 -47399.93180   1431.99944    785.00034    -26.18612  47552.31080
 81999.88780  47799.93140    -20.68595    102.98289     18.00000      1.00000    -59.76095      5.42197    -20.68595  81999.88780  47799.93140    612.00056   1260.99966    -20.68595  47555.94509
 82199.88760  47399.93200    -19.93579    103.07319     19.00000      1.00000    -60.03043      5.42041    -19.93579  82199.88760  47399.93200    611.00056   1258.99966    -19.93579  47551.24367
-94599.88880   4999.99040     -4.91854    107.71430     20.00000      1.00000     86.97450      5.41159     -4.91854 -94599.88880   4999.99040   1494.99944   1046.99995     -4.91854  47076.00050
-94599.88880  -4999.99040     -4.91886    107.71429     21.00000      1.00000     93.02550      5.41159     -4.91886 -94599.88880  -4999.99040   1494.99944    997.00005     -4.91886  47076.00028
-83599.88740  44999.93620     14.56519    103.61198     22.00000      1.00000     61.70742      5.42350     14.56519 -83599.88740  44999.93620   1439.99944   1246.99968     14.56519  47519.19039
-82999.88720  45599.93480     15.31494    103.45824     23.00000      1.00000     61.21571      5.40985     15.31494 -82999.88720  45599.93480   1436.99944   1249.99967     15.31494  47529.05422
 83599.88740 -44999.93620     20.56486    103.61199     24.00000      1.00000   -118.29258      5.42350     20.56486  83599.88740 -44999.93620    604.00056    797.00032     20.56486  47519.19238
 83399.88760 -45599.93540     21.31462    103.49460     25.00000      1.00000   -118.66819      5.42977     21.31462  83399.88760 -45599.93540    605.00056    794.00032     21.31462  47526.75893
-93799.89480 -13399.98020     29.07772    107.40206     26.00000      1.00000     98.13010      5.41274     29.07772 -93799.89480 -13399.98020   1490.99947    955.00010     29.07772  47075.99922
 93999.89560  13399.98040     34.57804    107.49356     27.00000      1.00000    -81.88697      5.42398     34.57804  93999.89560  13399.98040    552.00052   1088.99990     34.57804  47194.62881
-35999.95060 -87799.88620     82.46394    112.77980     28.00000      1.00000    157.70526      5.42078     82.46394 -35999.95060 -87799.88620   1201.99975    583.00057     82.46394 142302.31505
-70399.91320  63599.91900     82.55762     97.93823     29.00000      1.00000     47.90506      5.41966     82.55762 -70399.91320  63599.91900   1373.99957   1339.99959     82.55762  47625.02699
-94599.88880   4999.99040     84.33146    107.71430     30.00000      1.00000     86.97450      5.41159     84.33146 -94599.88880   4999.99040   1494.99944   1046.99995     84.33146  47076.00050
 70599.91320 -63599.91920     89.80729     97.97972     31.00000      1.00000   -132.01410      5.42810     89.80729  70599.91320 -63599.91920    669.00043    704.00040     89.80729  47625.08301
