SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) Radius(px) Theta(degrees) Eta(degrees) DeltaOmega NImgs RingNr GrainVolume GrainRadius PowderIntensity SigmaR SigmaEta NrPx NrPxTot
1.000000 47434.658102 179.250000 1402.999858 1855.999707 3750.000000 179.250000 179.250000 916.905886 5.195755 24.552557 0.250000 1.000000 4.000000 2167097.390374 80.278012 4740.838162 9.119593 0.569864 45.000000 45.000000
2.000000 47483.266438 175.000000 611.000155 1841.999708 3750.000000 175.000000 175.000000 917.235190 5.197580 -26.620922 0.250000 1.000000 4.000000 2339379.864393 82.351348 4740.838162 8.958039 0.571114 45.000000 45.000000
3.000000 47535.158454 174.000000 1400.999800 1702.999657 3750.000000 174.000000 174.000000 779.359597 4.429756 29.097447 0.250000 1.000000 3.000000 2554428.878614 84.801149 2361.430926 9.186331 0.112727 45.000000 45.000000
4.000000 47528.765326 173.250000 1396.999802 1704.999657 3750.000000 173.250000 173.250000 779.174809 4.428722 28.768913 0.250000 1.000000 3.000000 2527720.972884 84.504566 2361.430926 8.983318 0.112758 45.000000 45.000000
5.000000 42344.648014 173.250000 1799.999587 1030.999995 3750.000000 173.250000 173.250000 778.051642 4.422439 89.337225 0.250000 1.000000 3.000000 4680237.110400 103.767117 2361.430926 2.919873 0.099661 45.000000 45.000000
6.000000 94152.000053 172.625000 1800.499656 1035.999990 3750.000000 172.500000 172.750000 778.125610 4.422853 88.969082 0.500000 2.000000 3.000000 10405365.737885 135.432506 2361.430926 8.070978 0.594292 90.000000 90.000000
7.000000 47521.612530 170.500000 216.000292 1457.999834 3750.000000 170.500000 170.500000 916.368586 5.192777 -61.589142 0.250000 1.000000 4.000000 4597172.273353 103.149562 4740.838162 9.180514 0.573496 45.000000 45.000000
8.000000 91730.540319 169.750000 211.633543 1452.337268 13558.160566 169.750000 169.750000 917.542347 5.199283 -62.029896 0.250000 1.000000 4.000000 8910466.120220 128.608776 4740.838162 10.119276 0.507512 56.000000 56.000000
9.000000 14524.442252 169.750000 210.625238 1453.367647 11356.892326 169.750000 169.750000 918.916237 5.206898 -62.002641 0.250000 1.000000 4.000000 1410492.668877 69.570866 4740.838162 10.527499 0.029638 56.000000 56.000000
10.000000 47623.746895 168.750000 631.000357 636.000354 3750.000000 168.750000 168.750000 549.432841 3.135438 -134.631306 0.250000 1.000000 2.000000 3763017.816979 96.490055 1177.064788 9.080016 0.946869 45.000000 45.000000
11.000000 47558.424851 163.750000 1415.999790 350.000342 3750.000000 163.750000 163.750000 778.986120 4.427667 149.616499 0.250000 1.000000 3.000000 2658153.483461 85.933760 2361.430926 8.819729 0.667347 45.000000 45.000000
12.000000 47552.528998 163.250000 192.000278 542.000169 3750.000000 163.250000 163.250000 958.801010 5.427637 -120.041364 0.250000 1.000000 5.000000 4530864.553763 102.651230 1578.488392 9.196485 0.549558 45.000000 45.000000
13.000000 47565.500844 163.250000 1420.999787 353.000341 3750.000000 163.250000 163.250000 778.948890 4.427458 149.187620 0.250000 1.000000 3.000000 2692430.682479 86.301559 2361.430926 5.055677 0.676801 45.000000 45.000000
14.000000 47557.146123 162.500000 194.000278 538.000170 3750.000000 162.500000 162.500000 959.082570 5.429193 -120.308039 0.250000 1.000000 5.000000 4519041.712142 102.561866 1578.488392 9.174468 0.091590 45.000000 45.000000
15.000000 47551.243037 160.000000 611.000562 785.000340 3750.000000 160.000000 160.000000 474.435851 2.710203 -119.969568 0.250000 1.000000 1.000000 4586968.171654 103.073187 1565.589622 8.080517 0.185158 45.000000 45.000000
16.000000 47779.605541 160.000000 1411.999644 1407.999647 3750.000000 160.000000 160.000000 548.721650 3.131412 45.295337 0.250000 1.000000 2.000000 3770571.842958 96.554578 1177.064788 9.062510 0.445058 45.000000 45.000000
17.000000 47555.945413 159.250000 612.000561 783.000343 3750.000000 159.250000 159.250000 474.573889 2.710987 -120.239055 0.250000 1.000000 1.000000 4574923.412342 102.982889 1565.589622 9.198025 0.185099 45.000000 45.000000
18.000000 47522.213517 158.750000 1826.999708 586.000166 3750.000000 158.750000 158.750000 915.489151 5.187901 118.440635 0.250000 1.000000 4.000000 4595972.585697 103.140589 4740.838162 9.180858 0.574580 45.000000 45.000000
19.000000 47354.133048 158.000000 168.000295 687.000122 3750.000000 158.000000 158.000000 917.355119 5.198245 -111.418670 0.250000 1.000000 4.000000 4848631.916982 104.996995 4740.838162 9.046339 0.095872 45.000000 45.000000
20.000000 12552.812334 158.000000 1830.581528 592.480781 5129.500000 158.000000 158.000000 915.582245 5.188417 117.977279 0.250000 1.000000 4.000000 1219287.558230 66.273389 4740.838162 10.528078 0.036164 56.000000 56.000000
21.000000 82534.088199 158.000000 1831.622940 591.360659 11229.282937 158.000000 158.000000 917.027561 5.196429 118.008561 0.250000 1.000000 4.000000 8014322.651724 124.144096 4740.838162 1.143888 0.063923 56.000000 56.000000
22.000000 42498.588625 153.750000 1431.999420 1258.999670 3750.000000 153.750000 153.750000 473.569813 2.705285 59.969992 0.250000 1.000000 1.000000 4097090.830338 99.264889 1565.589622 1.494463 0.210422 45.000000 45.000000
23.000000 47556.986367 153.000000 1430.999438 1260.999655 3750.000000 153.000000 153.000000 473.710223 2.706082 59.700033 0.250000 1.000000 1.000000 4572203.904010 102.962480 1565.589622 9.198483 0.185435 45.000000 45.000000
24.000000 47482.010970 152.000000 1431.999846 202.000292 3750.000000 152.000000 152.000000 916.787541 5.195099 153.434949 0.250000 1.000000 4.000000 2334772.874471 82.297254 4740.838162 9.155417 0.572177 45.000000 45.000000
25.000000 47076.005698 151.500000 106.000289 987.000019 3750.000000 151.500000 151.500000 916.668134 5.194437 -92.188184 0.250000 1.000000 4.000000 5174149.078471 107.295978 4740.838162 6.177611 0.095931 45.000000 45.000000
26.000000 47076.000046 150.750000 106.000289 983.000021 3750.000000 150.750000 150.750000 916.829575 5.195332 -92.437976 0.250000 1.000000 4.000000 5173229.653469 107.289622 4740.838162 8.164708 0.493250 45.000000 45.000000
27.000000 47553.053263 150.750000 1850.999722 1501.999831 3750.000000 150.750000 150.750000 957.935476 5.422854 59.928693 0.250000 1.000000 5.000000 4529580.090486 102.641529 1578.488392 9.190301 0.550070 45.000000 45.000000
28.000000 47559.046986 149.750000 1847.999722 1506.999829 3750.000000 149.750000 149.750000 957.862399 5.422450 59.579948 0.250000 1.000000 5.000000 4514097.867195 102.524451 1578.488392 9.199328 0.091705 45.000000 45.000000
29.000000 47075.999843 148.000000 69.000263 1130.999957 3750.000000 148.000000 148.000000 959.212953 5.429913 -83.475112 0.250000 1.000000 5.000000 5148241.223536 107.116595 1578.488392 1.534824 0.321353 45.000000 45.000000
30.000000 47354.746748 146.750000 1874.999704 1356.999878 3750.000000 146.750000 146.750000 916.424254 5.193085 68.558499 0.250000 1.000000 4.000000 4847975.997683 104.992260 4740.838162 9.012046 0.095969 45.000000 45.000000
31.000000 47075.999474 145.250000 550.000531 1075.999913 3750.000000 145.250000 145.250000 475.078403 2.713851 -83.473354 0.250000 1.000000 1.000000 5208195.159175 107.530801 1565.589622 6.902716 0.264083 45.000000 45.000000
