SpotID IntegratedIntensity Omega(degrees) YCen(px) ZCen(px) IMax MinOme(degrees) MaxOme(degress) SigmaR SigmaEta NrPx NrPxTot Radius(px) Eta(degrees)
1 47434.658102 179.250000 1402.999858 1855.999707 3750.000000 179.250000 179.250000 9.119593 0.569864 45.000000 45.000000 916.905886 24.552557
2 47483.266438 175.000000 611.000155 1841.999708 3750.000000 175.000000 175.000000 8.958039 0.571114 45.000000 45.000000 917.235190 -26.620922
3 47535.158454 174.000000 1400.999800 1702.999657 3750.000000 174.000000 174.000000 9.186331 0.112727 45.000000 45.000000 779.359597 29.097447
4 47528.765326 173.250000 1396.999802 1704.999657 3750.000000 173.250000 173.250000 8.983318 0.112758 45.000000 45.000000 779.174809 28.768913
5 42344.648014 173.250000 1799.999587 1030.999995 3750.000000 173.250000 173.250000 2.919873 0.099661 45.000000 45.000000 778.051642 89.337225
6 94152.000053 172.625000 1800.499656 1035.999990 3750.000000 172.500000 172.750000 8.070978 0.594292 90.000000 90.000000 778.125610 88.969082
7 47521.612530 170.500000 216.000292 1457.999834 3750.000000 170.500000 170.500000 9.180514 0.573496 45.000000 45.000000 916.368586 -61.589142
8 91730.540319 169.750000 211.633543 1452.337268 13558.160566 169.750000 169.750000 10.119276 0.507512 56.000000 56.000000 917.542347 -62.029896
9 14524.442252 169.750000 210.625238 1453.367647 11356.892326 169.750000 169.750000 10.527499 0.029638 56.000000 56.000000 918.916237 -62.002641
10 47623.746895 168.750000 631.000357 636.000354 3750.000000 168.750000 168.750000 9.080016 0.946869 45.000000 45.000000 549.432841 -134.631306
11 47558.424851 163.750000 1415.999790 350.000342 3750.000000 163.750000 163.750000 8.819729 0.667347 45.000000 45.000000 778.986120 149.616499
12 47552.528998 163.250000 192.000278 542.000169 3750.000000 163.250000 163.250000 9.196485 0.549558 45.000000 45.000000 958.801010 -120.041364
13 47565.500844 163.250000 1420.999787 353.000341 3750.000000 163.250000 163.250000 5.055677 0.676801 45.000000 45.000000 778.948890 149.187620
14 47557.146123 162.500000 194.000278 538.000170 3750.000000 162.500000 162.500000 9.174468 0.091590 45.000000 45.000000 959.082570 -120.308039
15 47551.243037 160.000000 611.000562 785.000340 3750.000000 160.000000 160.000000 8.080517 0.185158 45.000000 45.000000 474.435851 -119.969568
16 47779.605541 160.000000 1411.999644 1407.999647 3750.000000 160.000000 160.000000 9.062510 0.445058 45.000000 45.000000 548.721650 45.295337
17 47555.945413 159.250000 612.000561 783.000343 3750.000000 159.250000 159.250000 9.198025 0.185099 45.000000 45.000000 474.573889 -120.239055
18 47522.213517 158.750000 1826.999708 586.000166 3750.000000 158.750000 158.750000 9.180858 0.574580 45.000000 45.000000 915.489151 118.440635
19 47354.133048 158.000000 168.000295 687.000122 3750.000000 158.000000 158.000000 9.046339 0.095872 45.000000 45.000000 917.355119 -111.418670
20 12552.812334 158.000000 1830.581528 592.480781 5129.500000 158.000000 158.000000 10.528078 0.036164 56.000000 56.000000 915.582245 117.977279
21 82534.088199 158.000000 1831.622940 591.360659 11229.282937 158.000000 158.000000 1.143888 0.063923 56.000000 56.000000 917.027561 118.008561
22 42498.588625 153.750000 1431.999420 1258.999670 3750.000000 153.750000 153.750000 1.494463 0.210422 45.000000 45.000000 473.569813 59.969992
23 47556.986367 153.000000 1430.999438 1260.999655 3750.000000 153.000000 153.000000 9.198483 0.185435 45.000000 45.000000 473.710223 59.700033
24 47482.010970 152.000000 1431.999846 202.000292 3750.000000 152.000000 152.000000 9.155417 0.572177 45.000000 45.000000 916.787541 153.434949
25 47076.005698 151.500000 106.000289 987.000019 3750.000000 151.500000 151.500000 6.177611 0.095931 45.000000 45.000000 916.668134 -92.188184
26 47076.000046 150.750000 106.000289 983.000021 3750.000000 150.750000 150.750000 8.164708 0.493250 45.000000 45.000000 916.829575 -92.437976
27 47553.053263 150.750000 1850.999722 1501.999831 3750.000000 150.750000 150.750000 9.190301 0.550070 45.000000 45.000000 957.935476 59.928693
28 47559.046986 149.750000 1847.999722 1506.999829 3750.000000 149.750000 149.750000 9.199328 0.091705 45.000000 45.000000 957.862399 59.579948
29 47075.999843 148.000000 69.000263 1130.999957 3750.000000 148.000000 148.000000 1.534824 0.321353 45.000000 45.000000 959.212953 -83.475112
30 47354.746748 146.750000 1874.999704 1356.999878 3750.000000 146.750000 146.750000 9.012046 0.095969 45.000000 45.000000 916.424254 68.558499
31 47075.999474 145.250000 550.000531 1075.999913 3750.000000 145.250000 145.250000 6.902716 0.264083 45.000000 45.000000 475.078403 -83.473354
32 47518.168666 141.000000 512.000492 1224.999794 3750.000000 141.000000 141.000000 9.053893 0.159473 45.000000 45.000000 548.915672 -68.295506
