h k l D-spacing RingNr g1 g2 g3 Theta 2Theta Radius
-1 -1 -1 2.355589 1 -0.245098 -0.245098 -0.245098 2.711970 5.423939 94949.402022
1 1 1 2.355589 1 0.245098 0.245098 0.245098 2.711970 5.423939 94949.402022
-1 1 -1 2.355589 1 -0.245098 0.245098 -0.245098 2.711970 5.423939 94949.402022
1 -1 1 2.355589 1 0.245098 -0.245098 0.245098 2.711970 5.423939 94949.402022
1 1 -1 2.355589 1 0.245098 0.245098 -0.245098 2.711970 5.423939 94949.402022
-1 -1 1 2.355589 1 -0.245098 -0.245098 0.245098 2.711970 5.423939 94949.402022
1 -1 -1 2.355589 1 0.245098 -0.245098 -0.245098 2.711970 5.423939 94949.402022
-1 1 1 2.355589 1 -0.245098 0.245098 0.245098 2.711970 5.423939 94949.402022
0 0 -2 2.040000 2 -0.000000 -0.000000 -0.490196 3.131903 6.263806 109761.671955
0 0 2 2.040000 2 0.000000 0.000000 0.490196 3.131903 6.263806 109761.671955
0 -2 0 2.040000 2 -0.000000 -0.490196 0.000000 3.131903 6.263806 109761.671955
0 2 0 2.040000 2 0.000000 0.490196 0.000000 3.131903 6.263806 109761.671955
2 0 0 2.040000 2 0.490196 0.000000 0.000000 3.131903 6.263806 109761.671955
-2 0 0 2.040000 2 -0.490196 0.000000 0.000000 3.131903 6.263806 109761.671955
0 -2 -2 1.442498 3 -0.000000 -0.490196 -0.490196 4.431391 8.862782 155930.388055
0 2 2 1.442498 3 0.000000 0.490196 0.490196 4.431391 8.862782 155930.388055
-2 0 -2 1.442498 3 -0.490196 -0.000000 -0.490196 4.431391 8.862782 155930.388055
2 0 2 1.442498 3 0.490196 0.000000 0.490196 4.431391 8.862782 155930.388055
0 2 -2 1.442498 3 0.000000 0.490196 -0.490196 4.431391 8.862782 155930.388055
0 -2 2 1.442498 3 0.000000 -0.490196 0.490196 4.431391 8.862782 155930.388055
2 0 -2 1.442498 3 0.490196 -0.000000 -0.490196 4.431391 8.862782 155930.388055
-2 0 2 1.442498 3 -0.490196 0.000000 0.490196 4.431391 8.862782 155930.388055
2 -2 0 1.442498 3 0.490196 -0.490196 0.000000 4.431391 8.862782 155930.388055
-2 2 0 1.442498 3 -0.490196 0.490196 0.000000 4.431391 8.862782 155930.388055
-2 -2 0 1.442498 3 -0.490196 -0.490196 0.000000 4.431391 8.862782 155930.388055
2 2 0 1.442498 3 0.490196 0.490196 0.000000 4.431391 8.862782 155930.388055
-1 -1 -3 1.230166 4 -0.245098 -0.245098 -0.735294 5.198216 10.396432 183469.976227
1 1 3 1.230166 4 0.245098 0.245098 0.735294 5.198216 10.396432 183469.976227
-1 1 -3 1.230166 4 -0.245098 0.245098 -0.735294 5.198216 10.396432 183469.976227
1 -1 3 1.230166 4 0.245098 -0.245098 0.735294 5.198216 10.396432 183469.976227
1 1 -3 1.230166 4 0.245098 0.245098 -0.735294 5.198216 10.396432 183469.976227
-1 -1 3 1.230166 4 -0.245098 -0.245098 0.735294 5.198216 10.396432 183469.976227
1 -1 -3 1.230166 4 0.245098 -0.245098 -0.735294 5.198216 10.396432 183469.976227
-1 1 3 1.230166 4 -0.245098 0.245098 0.735294 5.198216 10.396432 183469.976227
-1 -3 1 1.230166 4 -0.245098 -0.735294 0.245098 5.198216 10.396432 183469.976227
1 3 -1 1.230166 4 0.245098 0.735294 -0.245098 5.198216 10.396432 183469.976227
-1 3 -1 1.230166 4 -0.245098 0.735294 -0.245098 5.198216 10.396432 183469.976227
1 -3 1 1.230166 4 0.245098 -0.735294 0.245098 5.198216 10.396432 183469.976227
3 -1 -1 1.230166 4 0.735294 -0.245098 -0.245098 5.198216 10.396432 183469.976227
-3 1 1 1.230166 4 -0.735294 0.245098 0.245098 5.198216 10.396432 183469.976227
-3 -1 1 1.230166 4 -0.735294 -0.245098 0.245098 5.198216 10.396432 183469.976227
3 1 -1 1.230166 4 0.735294 0.245098 -0.245098 5.198216 10.396432 183469.976227
-1 -3 -1 1.230166 4 -0.245098 -0.735294 -0.245098 5.198216 10.396432 183469.976227
1 3 1 1.230166 4 0.245098 0.735294 0.245098 5.198216 10.396432 183469.976227
-3 -1 -1 1.230166 4 -0.735294 -0.245098 -0.245098 5.198216 10.396432 183469.976227
3 1 1 1.230166 4 0.735294 0.245098 0.245098 5.198216 10.396432 183469.976227
-1 3 1 1.230166 4 -0.245098 0.735294 0.245098 5.198216 10.396432 183469.976227
1 -3 -1 1.230166 4 0.245098 -0.735294 -0.245098 5.198216 10.396432 183469.976227
3 -1 1 1.230166 4 0.735294 -0.245098 0.245098 5.198216 10.396432 183469.976227
-3 1 -1 1.230166 4 -0.735294 0.245098 -0.245098 5.198216 10.396432 183469.976227
-2 -2 -2 1.177795 5 -0.490196 -0.490196 -0.490196 5.430039 10.860078 191847.142109
2 2 2 1.177795 5 0.490196 0.490196 0.490196 5.430039 10.860078 191847.142109
-2 2 -2 1.177795 5 -0.490196 0.490196 -0.490196 5.430039 10.860078 191847.142109
2 -2 2 1.177795 5 0.490196 -0.490196 0.490196 5.430039 10.860078 191847.142109
2 2 -2 1.177795 5 0.490196 0.490196 -0.490196 5.430039 10.860078 191847.142109
-2 -2 2 1.177795 5 -0.490196 -0.490196 0.490196 5.430039 10.860078 191847.142109
2 -2 -2 1.177795 5 0.490196 -0.490196 -0.490196 5.430039 10.860078 191847.142109
-2 2 2 1.177795 5 -0.490196 0.490196 0.490196 5.430039 10.860078 191847.142109
