SpotID     59,      9 out of     18, Errors:  126.20 0.0514 0.0522, Fitvals: Pos:    2.13   -9.30    4.33, Orient:  195.53   45.42  252.00, LatC: 4.0813 4.0812 4.0818  89.992  90.003  90.043
SpotID     52,      2 out of     18, Errors:  119.03 0.0815 0.0749, Fitvals: Pos:   41.58   15.62   -2.70, Orient:  141.88   67.39  246.46, LatC: 4.0788 4.0839 4.0816  89.873  89.964  90.061
SpotID     56,      6 out of     18, Errors:  116.44 0.0681 0.0641, Fitvals: Pos:   35.87   10.02   -1.68, Orient:  141.87   67.40  156.40, LatC: 4.0843 4.0785 4.0814  89.963  90.134  89.957
SpotID     60,     10 out of     18, Errors:  122.96 0.0512 0.0501, Fitvals: Pos:    4.79   -3.94    5.07, Orient:  195.55   45.41   71.99, LatC: 4.0804 4.0814 4.0823  90.023  89.993  90.035
SpotID     62,     12 out of     18, Errors:  187.74 0.1718 0.1192, Fitvals: Pos:   37.09   33.22   -2.96, Orient:  273.29   32.24  133.72, LatC: 4.0818 4.0830 4.0795  89.954  90.030  89.922
SpotID     50,      0 out of     18, Errors:  125.92 0.0505 0.0512, Fitvals: Pos:    7.58  -10.60    5.31, Orient:  195.53   45.40  161.98, LatC: 4.0819 4.0809 4.0824  90.009  90.011  89.992
SpotID     57,      7 out of     18, Errors:  118.97 0.0497 0.0506, Fitvals: Pos:    1.15   -4.24    4.75, Orient:  272.69  102.73  133.97, LatC: 4.0823 4.0801 4.0817  90.019  89.989  90.013
SpotID     53,      3 out of     18, Errors:  128.63 0.0707 0.0640, Fitvals: Pos:  -21.94  -37.62    9.35, Orient:  274.52   32.25  223.09, LatC: 4.0828 4.0817 4.0816  89.991  89.954  89.992
SpotID     63,     13 out of     18, Errors:  133.28 0.0855 0.0679, Fitvals: Pos:  -16.51  -46.52   10.58, Orient:   42.88   68.63  204.73, LatC: 4.0811 4.0815 4.0833  89.963  90.014  90.018
SpotID     51,      1 out of     18, Errors:  125.83 0.0787 0.0636, Fitvals: Pos:  -23.96  -40.22    7.53, Orient:  142.42   67.07  246.69, LatC: 4.0808 4.0840 4.0814  90.002  89.996  90.024
SpotID     67,     17 out of     18, Errors:  123.36 0.0525 0.0512, Fitvals: Pos:    5.32   -3.15    3.66, Orient:  195.54   45.40  161.96, LatC: 4.0816 4.0805 4.0825  90.009  90.023  89.988
SpotID     64,     14 out of     18, Errors:  162.62 0.1562 0.1034, Fitvals: Pos:   38.88   11.72   -9.25, Orient:   42.28   68.41  204.50, LatC: 4.0819 4.0790 4.0839  89.957  89.890  90.019
SpotID     66,     16 out of     18, Errors:  119.03 0.0815 0.0749, Fitvals: Pos:   41.58   15.62   -2.69, Orient:  141.88   67.39  246.46, LatC: 4.0788 4.0839 4.0816  89.873  89.964  90.061
SpotID     55,      5 out of     18, Errors:  126.07 0.0704 0.0637, Fitvals: Pos:  -11.64  -44.55    9.72, Orient:  142.42   67.07  156.68, LatC: 4.0830 4.0816 4.0817  89.988  89.988  89.954
SpotID     61,     11 out of     18, Errors:  126.86 0.0741 0.0631, Fitvals: Pos:   -7.69  -43.34   10.65, Orient:  274.52   32.25  133.10, LatC: 4.0812 4.0832 4.0817  89.948  90.009  89.998
SpotID     58,      8 out of     18, Errors:  122.16 0.0545 0.0510, Fitvals: Pos:    5.32  -10.28    6.14, Orient:   92.69   77.27  226.04, LatC: 4.0826 4.0802 4.0814  89.976  89.987  89.990
SpotID     54,      4 out of     18, Errors:  116.96 0.0802 0.0748, Fitvals: Pos:   40.30   20.17   -0.83, Orient:  273.27   32.25  223.84, LatC: 4.0841 4.0816 4.0788  89.948  89.960  90.134
SpotID     65,     15 out of     18, Errors:  126.43 0.0794 0.0642, Fitvals: Pos:  -24.89  -44.71    8.28, Orient:  142.42   67.07  246.69, LatC: 4.0810 4.0840 4.0813  90.004  89.991  90.030
Finished, time elapsed: 4.449341 seconds.
